sheet_name,owner_name,sheet_team_name,team_key,excel_row,player_name,raw_2025,status,years_remaining_2026
Brent,Brent,Dangerous Nights Crew,470.l.84346.t.5,3,Courtland Sutton,FT,EXPIRED_FT_QO_CANDIDATE,0
Brent,Brent,Dangerous Nights Crew,470.l.84346.t.5,4,CeeDee Lamb,4,ACTIVE_CONTRACT,3
Brent,Brent,Dangerous Nights Crew,470.l.84346.t.5,5,Ricky Pearsall,3,ACTIVE_CONTRACT,2
Brent,Brent,Dangerous Nights Crew,470.l.84346.t.5,6,Trey Benson,3,ACTIVE_CONTRACT,2
Brent,Brent,Dangerous Nights Crew,470.l.84346.t.5,7,T.J. Hockenson,2,ACTIVE_CONTRACT,1
Brent,Brent,Dangerous Nights Crew,470.l.84346.t.5,9,Jalen Hurts,2,ACTIVE_CONTRACT,1
Brent,Brent,Dangerous Nights Crew,470.l.84346.t.5,10,George Pickens,1,EXPIRED_QO_CANDIDATE,0
Brent,Brent,Dangerous Nights Crew,470.l.84346.t.5,11,AJ Dillon,1,EXPIRED_QO_CANDIDATE,0
Chad B,Chad B,Fly Pigs Fly,470.l.84346.t.9,3,Christian McCaffrey,FT,EXPIRED_FT_QO_CANDIDATE,0
Chad B,Chad B,Fly Pigs Fly,470.l.84346.t.9,4,Lamar Jackson,4,ACTIVE_CONTRACT,3
Chad B,Chad B,Fly Pigs Fly,470.l.84346.t.9,5,DK Metcalf,3,ACTIVE_CONTRACT,2
Chad B,Chad B,Fly Pigs Fly,470.l.84346.t.9,6,Justin Herbert,3,ACTIVE_CONTRACT,2
Chad B,Chad B,Fly Pigs Fly,470.l.84346.t.9,7,DeVonta Smith,2,ACTIVE_CONTRACT,1
Chad B,Chad B,Fly Pigs Fly,470.l.84346.t.9,8,Davante Adams,1,EXPIRED_QO_CANDIDATE,0
Chad B,Chad B,Fly Pigs Fly,470.l.84346.t.9,9,Dallas Goedart,2,ACTIVE_CONTRACT,1
Chad B,Chad B,Fly Pigs Fly,470.l.84346.t.9,10,Gabe Davis,1,EXPIRED_QO_CANDIDATE,0
Christopher,Christopher,Skol,470.l.84346.t.10,3,Brian Thomas Jr.,FT,EXPIRED_FT_QO_CANDIDATE,0
Christopher,Christopher,Skol,470.l.84346.t.10,4,Patrick Mahomes,4,ACTIVE_CONTRACT,3
Christopher,Christopher,Skol,470.l.84346.t.10,5,Kyren Williams,3,ACTIVE_CONTRACT,2
Christopher,Christopher,Skol,470.l.84346.t.10,6,A.J. Brown,3,ACTIVE_CONTRACT,2
